timestamp,price,quantity,buyer,seller,spread
2212,100.82000000000001,3,16,8,0.8300000000000125
2219,99.57000000000001,2,8,11,0.8300000000000125
2219,99.57000000000001,1,8,11,0.8300000000000125
2220,99.57000000000001,4,8,51,0.8300000000000125
2227,100.82000000000001,4,57,6,0.8300000000000125
2231,100.82000000000001,1,40,6,0.8300000000000125
2231,100.82000000000001,1,40,6,0.8300000000000125
2232,99.54,1,6,18,0.8300000000000125
2232,99.54,1,8,18,0.8300000000000125
2235,99.54,1,8,13,0.8300000000000125
2236,99.54,3,8,38,0.8300000000000125
2236,99.54,1,8,38,0.8300000000000125
2242,100.82000000000001,1,48,6,0.8300000000000125
2246,100.82000000000001,3,22,6,0.8300000000000125
2248,100.82000000000001,2,55,8,0.8300000000000125
2252,100.82000000000001,2,0,8,0.8300000000000125
2253,99.54,1,8,43,0.8300000000000125
2254,100.82000000000001,1,0,8,0.8300000000000125
2254,100.83,1,0,5,0.8400000000000034
2255,99.54,2,8,52,0.8400000000000034
2256,99.54,1,8,29,0.8400000000000034
2256,99.54,2,8,0,0.8400000000000034
2257,99.54,1,8,38,0.8400000000000034
2259,99.54,1,8,35,0.8400000000000034
2260,99.54,1,8,30,0.8400000000000034
2260,100.83,4,31,5,0.8400000000000034
2260,100.83,3,58,5,0.8400000000000034
2261,100.83,2,48,5,0.8400000000000034
2261,100.83,1,48,34,0.8400000000000034
2262,100.83,1,22,34,0.8400000000000034
2262,100.83,1,22,27,0.8400000000000034
2262,100.83,2,22,30,0.8400000000000034
2262,100.83,1,34,30,0.8400000000000034
2262,100.83,1,34,10,0.8400000000000034
2264,99.54,1,8,25,0.8400000000000034
2265,99.54,2,8,0,0.8400000000000034
2269,99.54,2,8,0,0.8400000000000034
2273,100.83,4,55,10,0.8400000000000034
2273,99.54,1,8,30,0.8400000000000034
2275,99.54,2,8,32,0.8400000000000034
2280,100.83,2,0,10,0.8400000000000034
2290,100.83,3,39,10,0.8400000000000034
2290,100.83,1,39,6,0.8400000000000034
2290,100.83,3,40,6,0.8400000000000034
2297,100.83,1,39,6,0.8400000000000034
2297,100.83,1,39,10,0.8400000000000034
2299,100.83,3,57,10,0.8400000000000034
2304,100.83,1,27,10,0.8400000000000034
2305,100.83,1,39,8,0.8400000000000034
2318,99.54,2,8,11,0.8400000000000034
2318,99.53,2,36,11,0.8400000000000034
2318,100.83,1,48,8,0.8400000000000034
2326,99.53,1,36,0,0.8400000000000034
2326,99.53,1,10,0,0.8400000000000034
2329,99.53,4,10,38,0.8400000000000034
2331,100.83,3,58,8,0.8400000000000034
2332,99.53,2,10,0,0.8400000000000034
2334,99.53,3,10,51,0.8400000000000034
2334,99.53,1,45,51,0.8400000000000034
2336,99.53,1,45,29,0.8400000000000034
2336,99.53,3,37,29,0.8400000000000034
2342,99.53,3,5,25,0.8400000000000034
2343,100.83,2,0,6,0.8400000000000034
2346,100.83,1,34,6,0.8400000000000034
2346,99.53,1,5,43,0.8400000000000034
2349,99.53,1,5,18,0.8400000000000034
2351,100.83,2,58,6,0.8400000000000034
2352,99.53,4,11,43,0.8400000000000034
2353,100.83,1,44,8,0.8400000000000034
2354,99.53,2,4,11,0.8400000000000034
2356,100.83,3,48,8,0.8400000000000034
2358,100.83,1,17,8,0.8400000000000034
2358,100.83,1,17,5,0.8400000000000034
2361,100.83,2,0,5,0.8400000000000034
2365,100.83,2,0,5,0.8400000000000034
2366,99.53,2,4,18,0.8400000000000034
2366,99.53,1,4,45,0.8400000000000034
2366,99.53,1,10,45,0.8400000000000034
2367,100.83,2,57,5,0.8400000000000034
2368,99.53,4,10,43,0.8400000000000034
2370,100.83,3,55,5,0.8400000000000034
2370,100.83,1,55,6,0.8400000000000034
2377,99.53,1,29,15,0.8400000000000034
2377,99.53,3,4,15,0.8400000000000034
2381,99.53,1,4,37,0.8400000000000034
2384,100.83,3,16,6,0.8400000000000034
2385,100.83,1,17,6,0.8400000000000034
2385,100.83,1,17,17,0.8400000000000034
2386,99.53,1,4,37,0.8400000000000034
2386,99.53,1,9,37,0.8400000000000034
2396,100.83,4,58,10,0.8400000000000034
2396,99.53,4,9,38,0.8400000000000034
2402,99.53,3,9,36,0.8400000000000034
2403,99.53,2,9,51,0.8400000000000034
2403,99.53,1,10,51,0.8400000000000034
